months,ICO composite indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
11/2004,1.4953642384105958,0.5538631346578364,0.49735099337748334,0.25717439293598265,-0.7732891832229579
12/2004,1.7156732891832227,0.6187637969094923,0.5827814569536425,0.3099337748344373,-0.900662251655629
01/2005,1.7516556291390726,0.6373068432671081,0.6139072847682121,0.31523178807947017,-0.9357615894039732
02/2005,1.9735099337748343,0.709933774834437,0.6944812362030905,0.3688741721854303,-1.0631346578366445
03/2005,2.239293598233995,0.7527593818984548,0.7415011037527597,0.4123620309050775,-1.1463576158940394
04/2005,2.1677704194260485,0.6911699779249445,0.6916114790286976,0.35938189845474566,-1.0474613686534218
05/2005,2.2026490066225164,0.6421633554083885,0.6311258278145697,0.335099337748344,-0.9649006622516556
06/2005,2.12560706401766,0.5518763796909489,0.549006622516556,0.24150110375275924,-0.8006622516556292
07/2005,1.9532008830022072,0.49249448123620354,0.47350993377483475,0.17836644591611517,-0.6754966887417215
08/2005,1.883222958057395,0.5216335540838852,0.5052980132450331,0.21346578366445912,-0.7359823399558498
09/2005,1.7392935982339957,0.49359823399558467,0.4569536423841054,0.23598233995585005,-0.7046357615894041
10/2005,1.8222958057395144,0.5222958057395137,0.49668874172185373,0.2615894039735098,-0.7730684326710819
11/2005,1.8969094922737304,0.5092715231788081,0.48145695364238406,0.2655629139072848,-0.761147902869757
12/2005,1.9172185430463573,0.46004415011037514,0.4176600441501104,0.236644591611479,-0.6724061810154522
01/2006,2.2339955849889623,0.5677704194260484,0.5077262693156732,0.3041942604856511,-0.8346578366445916
02/2006,2.1498896247240618,0.5280353200882999,0.47969094922737243,0.25651214128035305,-0.7596026490066226
03/2006,2.047682119205298,0.5132450331125824,0.461368653421633,0.24635761589403948,-0.7320088300220753
04/2006,2.0794701986754967,0.5225165562913907,0.46843267108167774,0.24922737306843246,-0.7428256070640178
05/2006,1.986754966887417,0.48145695364238406,0.4273730684326711,0.20507726269315696,-0.660485651214128
06/2006,1.8993377483443707,0.43686534216335526,0.37770419426048574,0.15960264900662247,-0.5697571743929362
07/2006,1.955187637969095,0.4256070640176599,0.3626931567328917,0.1322295805739513,-0.5315673289183225
08/2006,2.1143487858719645,0.40529801324503323,0.3520971302428255,0.10132450331125842,-0.48984547461368644
09/2006,2.118763796909492,0.3509933774834435,0.30573951434878577,0.07836644591611464,-0.4165562913907286
10/2006,2.108830022075055,0.3783664459161149,0.3333333333333335,0.08167770419426068,-0.44944812362030895
11/2006,2.284326710816777,0.45187637969094885,0.41479028697571696,0.14481236203090475,-0.5891832229580574
12/2006,2.3843267108167767,0.5165562913907285,0.4509933774834436,0.20640176600441507,-0.6918322295805737
01/2007,2.3357615894039734,0.4472406181015449,0.41324503311258276,0.14768211920529772,-0.588962472406181
02/2007,2.2997792494481235,0.43355408388520944,0.39403973509933765,0.129139072847682,-0.5540838852097132
03/2007,2.2094922737306844,0.4026490066225161,0.37505518763796886,0.10640176600441453,-0.5097130242825609
04/2007,2.19205298013245,0.3710816777041943,0.33774834437086065,0.06445916114790284,-0.43532008830022084
05/2007,2.2094922737306844,0.3293598233995585,0.2902869757174389,0.03090507726269287,-0.35717439293598274
06/2007,2.3626931567328917,0.31280353200883004,0.27152317880794685,0.006401766004414888,-0.3167770419426046
07/2007,2.3443708609271523,0.3218543046357616,0.25231788079470174,0.0008830022075052568,-0.30220750551876385
08/2007,2.383664459161148,0.38057395143487804,0.33576158940397294,0.08278145695364181,-0.45342163355408416
09/2007,2.498896247240618,0.37902869757174384,0.3275938189845471,0.08697571743929355,-0.4507726269315673
10/2007,2.554304635761589,0.4587196467991177,0.4101545253863135,0.1415011037527596,-0.54326710816777
11/2007,2.5260485651214126,0.416997792494481,0.365783664459161,0.12008830022075045,-0.4821192052980132
12/2007,2.6083885209713022,0.4847682119205299,0.42869757174392964,0.1715231788079472,-0.5909492273730685
01/2008,2.7004415011037524,0.44878587196468,0.3869757174392938,0.12362030905077281,-0.5103752759381899
02/2008,3.0644591611479024,0.46534216335540846,0.40772626931567313,0.10949227373068471,-0.5158940397350991
03/2008,3.005960264900662,0.3415011037527593,0.3028697571743928,0.005298013245033317,-0.314569536423841
04/2008,2.7935982339955845,0.34194260485651196,0.3123620309050774,0.02472406181015474,-0.33686534216335495
05/2008,2.798233995584989,0.37174392935982326,0.3353200883002203,0.06092715231788093,-0.39470198675496704
06/2008,2.8810154525386307,0.41147902869757225,0.34525386313465845,0.06931567328918353,-0.42317880794701956
07/2008,2.931125827814569,0.40618101545253893,0.32185430463576203,0.04635761589403975,-0.387417218543046
08/2008,2.894922737306843,0.43907284768211907,0.3375275938189848,0.04724061810154545,-0.4101545253863135
09/2008,2.7966887417218538,0.47836644591611543,0.3660044150110382,0.07880794701986771,-0.470419426048565
10/2008,2.3909492273730684,0.5006622516556289,0.337306843267108,0.04326710816777002,-0.43134657836644585
11/2008,2.3814569536423837,0.4982339955849886,0.3092715231788081,0.0017660044150109577,-0.37792494481236183
12/2008,2.275275938189845,0.6141280353200882,0.35099337748344395,0.008609271523178919,-0.45386313465783634
01/2009,2.3927152317880793,0.7490066225165561,0.43951434878587214,0.01743929359823415,-0.566225165562914
02/2009,2.375275938189845,0.815673289183223,0.4830022075055185,0.001986754966887272,-0.6044150110375275
03/2009,2.3370860927152317,1.066004415011037,0.5,-0.06754966887417213,-0.6525386313465784
04/2009,2.463796909492274,1.5339955849889613,0.513686534216335,-0.12494481236203114,-0.7964679911699781
